0.0823,0.0006,0.012,0.0001
0.1074,0.0008,0.0355,0.0003
0.1558,0.0011,0.1019,0.0007
0.1703,0.0011,0.0,0.0
0.0552,0.0004,0.0656,0.0005
0.1159,0.0008,0.0294,0.0002
0.1337,0.0009,0.0034,0.0
0.1549,0.0011,0.0381,0.0003
0.0731,0.0005,0.0331,0.0003
0.161,0.0011,0.1922,0.0013
0.1276,0.0009,0.117,0.0008
0.0965,0.0007,0.0803,0.0006
0.1733,0.0012,0.1185,0.0008
0.1143,0.0008,0.0079,0.0001
0.1251,0.0009,0.0691,0.0005
0.1402,0.001,0.1106,0.0008
0.0496,0.0004,0.0084,0.0001
0.0592,0.0004,0.0377,0.0003
0.1596,0.0011,0.0932,0.0007
0.0441,0.0003,0.073,0.0005
0.1547,0.0011,0.0299,0.0002
0.1173,0.0008,0.1578,0.0011
0.1475,0.001,0.0936,0.0007
0.0298,0.0002,0.015,0.0001
0.1213,0.0008,0.052,0.0004
0.1264,0.0009,0.1761,0.0012
0.1466,0.001,0.074,0.0005
0.0019,0.0,0.1332,0.0009
0.0762,0.0006,0.0072,0.0001
0.1101,0.0008,0.1011,0.0007
0.0513,0.0004,0.1029,0.0007
0.0775,0.0006,0.159,0.0011
0.0474,0.0004,0.0528,0.0004
0.0586,0.0004,0.1721,0.0012
0.1189,0.0008,0.2021,0.0013
0.0458,0.0003,0.0283,0.0002
0.114,0.0008,0.0987,0.0007
0.0218,0.0002,0.0883,0.0006
0.1381,0.001,0.1434,0.001
0.1448,0.001,0.199,0.0013
0.125,0.0009,0.0441,0.0003
0.1406,0.001,0.1587,0.0011
0.1015,0.0007,0.2649,0.0016
0.1044,0.0007,0.0099,0.0001
0.0378,0.0003,0.0707,0.0005
0.0718,0.0005,0.1371,0.0009
0.1732,0.0012,0.2588,0.0016
0.1158,0.0008,0.1889,0.0012
0.0196,0.0002,0.0042,0.0
0.0374,0.0003,0.0716,0.0005
0.0605,0.0004,0.0908,0.0007
0.0002,0.0,0.3022,0.0018
0.1069,0.0008,0.2046,0.0013
0.1122,0.0008,0.2427,0.0015
0.0379,0.0003,0.0184,0.0001
0.0433,0.0003,0.0148,0.0001
0.0356,0.0003,0.0339,0.0003
0.0898,0.0006,0.0219,0.0002
0.0635,0.0005,0.1771,0.0012
0.064,0.0005,0.0504,0.0004
0.1226,0.0009,0.1163,0.0008
0.122,0.0009,0.0702,0.0005
0.0492,0.0004,0.1347,0.0009
0.1447,0.001,0.0499,0.0004
0.1648,0.0011,0.224,0.0014
0.0519,0.0004,0.0832,0.0006
0.102,0.0007,0.0122,0.0001
0.09,0.0006,0.0285,0.0002
0.1021,0.0007,0.0383,0.0003
0.08,0.0006,0.0452,0.0003
0.0593,0.0004,0.1104,0.0008
0.1162,0.0008,0.09,0.0006
0.0316,0.0002,0.0549,0.0004
0.062,0.0005,0.1075,0.0008
0.1042,0.0007,0.231,0.0015
0.1689,0.0011,0.0278,0.0002
0.1726,0.0012,0.2611,0.0016
0.1429,0.001,0.0336,0.0003
0.0729,0.0005,0.1071,0.0008
0.1222,0.0009,0.0262,0.0002
0.1292,0.0009,0.0289,0.0002
0.1329,0.0009,0.0312,0.0002
0.0387,0.0003,0.031,0.0002
0.0479,0.0004,0.0052,0.0
0.1066,0.0008,0.0964,0.0007
0.0893,0.0006,0.0088,0.0001
0.1208,0.0008,0.0651,0.0005
0.1645,0.0011,0.1422,0.001
0.1306,0.0009,0.0886,0.0006
0.1145,0.0008,0.0331,0.0003
0.0272,0.0002,0.1083,0.0008
0.0628,0.0005,0.0609,0.0004
0.1048,0.0007,0.1395,0.001
0.067,0.0005,0.0945,0.0007
0.1492,0.001,0.2115,0.0014
0.0338,0.0003,0.2251,0.0014
0.0827,0.0006,0.1833,0.0012
0.0885,0.0006,0.2385,0.0015
0.0632,0.0005,0.1677,0.0011
0.03,0.0002,0.0042,0.0
