CA Accuracy (%),CA-RFA Accuracy (%)
79.13082588407264,75.31952174809318
78.87361556192725,76.90963437716685
80.52885065872078,75.50551901201253
80.70219823466577,72.10743801652893
78.24066265624707,77.09000955754203
79.39459530368622,76.8206180543843
80.25664811379097,74.91332621202751
80.6511309758063,74.26772361837297
77.74966736005697,76.37694196135755
80.54384288150523,80.99548359288619
80.40188527201514,76.82905117970053
79.34071700305466,75.78615468225858
80.76169861884146,79.87481493975001
79.47236745938045,75.28344671201815
79.42926481887521,75.0904218436686
79.94555949101404,78.91952924420457
78.1652330353629,74.00442270572141
78.43415603155863,76.48282453477259
80.6164614606173,77.60536721575683
77.8658570866363,77.06377316766927
80.35550308277581,78.42056932966024
80.2088604036656,81.39886808717978
80.6375442739079,79.27184647963868
77.37954686006634,75.81613912782744
79.6344708682371,78.40229755814171
80.05191057139109,81.91328873147054
80.59397312644066,77.55476846385938
75.95388017465939,78.64685819231273
78.95982084293772,75.12883941455371
79.81672007646033,78.51239669421489
78.24253668409511,77.69297801765335
77.92207792207793,83.25977774029722
78.18818987650157,80.99314105807612
78.00781469612639,76.01900264237926
78.28235977586627,80.35878263150991
80.26133318341111,82.08616780045351
77.98673188283578,73.88776447218007
79.74972358089241,73.72706658420944
76.10145986769363,76.50718689679728
80.36627874290213,77.1443563651356
80.60474878656697,80.52744513783475
80.09595022582036,74.42045688798935
80.60896534922509,80.86477015048443
79.56419482393508,83.12953280485748
79.38850471318004,74.50338262026574
77.69672607334945,79.63493937519912
77.64472180056595,76.27668147148667
80.45857461441877,84.38513146305354
79.86825584228183,82.51859972639194
76.85903562526939,75.61140158542756
77.43623620246997,75.15460729746444
78.42525439928038,78.50771162459475
75.7908397518787,83.75171005041136
79.79938531886583,82.30870860740991
79.55248214988475,83.27383294915762
77.74826183917092,75.55658627087199
77.84992784992785,76.36944584996533
76.532017765784,77.20198272146324
78.3531043271303,76.62056558160454
78.60094451003542,82.01589175615149
77.50838627462005,76.5774629410993
80.23837634227245,79.03243942204982
80.23837634227245,79.03243942204982
79.67476246697026,77.62363898727536
78.11416577650344,80.03270178594853
80.53728378403703,74.7596559284871
80.60146923783287,81.9498322745076
76.7653342328667,77.23477820880417
79.39131575495212,77.31020782968835
78.29360394295459,75.96606135567174
78.95279323850752,76.88199246640805
79.0877232435674,76.52967523097394
77.0089578531137,79.85982271696558
79.92635070557148,78.33108449991568
75.99182923858248,77.97408219486141
77.19636063791908,78.98184067015237
79.68788066190665,82.46378441183636
80.59959520998483,76.37085137085137
80.61177639099716,83.26212027510729
80.61786698150335,75.40151046644553
78.93358445306498,78.30906467270104
80.3030303030303,75.76085530630985
79.88793313468638,76.96398118476041
79.77127490114503,76.75924364236053
77.6250445081614,74.56663106013755
76.8313937145106,75.7172841588426
79.0216637619235,77.472311238545
78.86705646445907,75.18646577088136
79.85279511253538,76.4345683176852
80.50683083150616,79.30932703659977
80.50729933846817,78.55315679991006
80.05378459923914,74.42092539495137
76.80890538033395,76.08225108225109
77.28490845373962,75.81848166263751
78.88111167331947,80.77341129289182
78.12400442270572,78.09964206068102
80.55461854163153,82.1592548865276
77.1171829613388,82.16393995614774
79.1851726916662,82.3536852757632
79.36554787204138,81.76430351755027
77.63535166132569,82.29933846816964
76.59667172654186,76.53154925882198
