CA Accuracy (%),CA-RFA Accuracy (%)
88.73475009838646,86.87102940349693
86.25025767882912,86.76327280223384
84.24879593710763,86.83870242311801
86.11157961807312,85.57654466745376
88.01278086992372,82.05571484792264
85.70538408200747,86.6541106800847
84.61048331178202,85.22703847379172
85.60980866175672,86.95582916362137
84.92485148329304,86.70189839021008
86.48497966679784,84.45306497254549
85.17550270797024,86.53604692565732
84.38138340735743,87.08841663387118
84.06982627761849,87.72183804651337
85.86795599782613,85.81032964149847
86.49575532692417,87.7330822136017
87.90596128258466,86.11485916680722
86.03287044845487,86.83167481868782
87.29643372500516,87.04343996551789
86.6086655047694,87.17134236614757
86.60819699780738,86.66160679147691
83.50152733269617,85.06915162759319
7.975394014355053,85.22516444594366
86.93615187121681,85.67258859466652
88.33698768763703,86.4278218174322
85.1394276718952,86.54166900920147
85.62433237757912,87.45057251550759
88.50799272877194,86.65645321489477
84.43338768014092,87.54989599145443
86.97503794906393,83.91053391053391
84.1607166282491,87.221472611083
87.15119656678098,82.58325368714979
86.31912820224508,88.4508348794063
12.09403871741534,84.95483592886191
86.17810760667903,86.47373549970952
88.50799272877194,86.25213170667716
86.08909128389648,86.62178369970577
87.21397649969079,84.44322632634321
86.17623357883099,86.56931091996027
86.6222522066678,83.81027342066302
88.60872172560484,87.27581941867656
85.31980285227039,85.480969247203
86.06847697756788,84.56503813646671
86.71735911995653,85.85436929592774
87.36155619272502,87.75557054777833
85.9611888832668,86.45358970034295
86.84385599970015,86.88133655666124
87.4721238357602,86.00148048199996
86.48170011806376,86.42641629654617
83.29632128333428,85.95650381364666
84.76040553962632,85.51657577631605
84.40012368583797,84.91407582316674
84.47461629279812,83.68518206180543
86.93052978767265,86.3926837952812
87.68435748955228,85.74286463896853
86.86165926425666,84.87565825228162
85.61355671745282,86.61381908135155
88.46348456738068,84.66014504975544
86.59882685856711,89.07816570154232
87.87176027435768,87.10153482880756
87.09497573133936,86.55385019021382
87.0649912857705,86.77170592755007
86.40252244148347,86.6156931091996
86.6016379003392,82.99226026498754
85.05837596746689,87.63047918892075
86.61335057438954,86.38471917692698
86.27836809654991,85.6369820655535
87.00642791551883,86.93193530855868
85.75364029909484,85.15863645733775
86.82980079083976,86.71454807818444
86.99893180412661,86.64099248514833
85.78221922377767,86.80403290792901
87.01111298513896,85.25468038455053
86.47982609021571,85.67305710162853
85.21485729277937,86.20902906617192
83.94332939787486,85.97992916174735
84.31860347444763,86.79466276868875
84.89393002380015,86.1631153838946
85.48050074024101,86.48966473641798
85.46925657315268,85.62761192631324
84.82412248646015,87.27253986994246
86.65176814527464,86.90944697438205
88.67665523509679,87.0893536477952
87.93032364460936,88.40820074586308
13.224077509791796,87.5452109218343
85.81688873896665,86.69065422312175
86.07409906111205,86.85791120856055
85.08601787822568,83.93208523078653
86.14062704971795,85.86420794213002
86.69018571615975,83.66831581117296
85.61871029403497,87.21491351361482
85.91574370795149,84.45540750735556
88.33183411105489,85.88669627630667
84.9412492269635,87.93313468638144
84.67420025861584,85.90731058263526
89.1643709825528,86.58851970540282
85.71147467251363,87.82116152246022
86.54775959970765,87.39294615917993
87.36624126234516,85.12818350480688
84.87706377316768,84.00142426116453
85.9466651674444,84.69200352317236
